"GEO_ID","NAME","P5_001N","P5_002N","P5_003N","P5_004N","P5_005N","P5_006N","P5_007N","P5_008N","P5_009N","P5_010N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Institutionalized population:"," !!Total:!!Institutionalized population:!!Correctional facilities for adults"," !!Total:!!Institutionalized population:!!Juvenile facilities"," !!Total:!!Institutionalized population:!!Nursing facilities/Skilled-nursing facilities"," !!Total:!!Institutionalized population:!!Other institutional facilities"," !!Total:!!Noninstitutionalized population:"," !!Total:!!Noninstitutionalized population:!!College/University student housing"," !!Total:!!Noninstitutionalized population:!!Military quarters"," !!Total:!!Noninstitutionalized population:!!Other noninstitutional facilities",
"1400000US17099963500","Census Tract 9635, LaSalle County, Illinois","92","76","0","0","76","0","16","0","0","16",
"1400000US17099963600","Census Tract 9636, LaSalle County, Illinois","143","121","0","0","121","0","22","0","0","22",
"1400000US17099963700","Census Tract 9637, LaSalle County, Illinois","117","65","0","0","65","0","52","0","0","52",
"1400000US17099963800","Census Tract 9638, LaSalle County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17099963900","Census Tract 9639, LaSalle County, Illinois","55","49","0","0","49","0","6","0","0","6",
"1400000US17099964000","Census Tract 9640, LaSalle County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17099964100","Census Tract 9641, LaSalle County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17099964200","Census Tract 9642, LaSalle County, Illinois","15","0","0","0","0","0","15","0","0","15",
"1400000US17099964300","Census Tract 9643, LaSalle County, Illinois","13","0","0","0","0","0","13","0","0","13",
"1400000US17101880700","Census Tract 8807, Lawrence County, Illinois","2","0","0","0","0","0","2","0","0","2",
"1400000US17101880800","Census Tract 8808, Lawrence County, Illinois","1995","1995","1995","0","0","0","0","0","0","0",
"1400000US17101880900","Census Tract 8809, Lawrence County, Illinois","201","79","0","0","79","0","122","0","0","122",
"1400000US17101881000","Census Tract 8810, Lawrence County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17101881100","Census Tract 8811, Lawrence County, Illinois","69","64","0","0","64","0","5","0","0","5",
"1400000US17103000100","Census Tract 1, Lee County, Illinois","13","0","0","0","0","0","13","0","0","13",
"1400000US17103000200","Census Tract 2, Lee County, Illinois","119","109","27","0","82","0","10","0","0","10",
"1400000US17103000300","Census Tract 3, Lee County, Illinois","134","83","0","0","82","1","51","0","0","51",
"1400000US17103000400","Census Tract 4, Lee County, Illinois","2444","2356","2179","0","177","0","88","0","0","88",
"1400000US17103000500","Census Tract 5, Lee County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17103000600","Census Tract 6, Lee County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17103000700","Census Tract 7, Lee County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17103000800","Census Tract 8, Lee County, Illinois","9","0","0","0","0","0","9","0","0","9",
"1400000US17103000900","Census Tract 9, Lee County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17105960100","Census Tract 9601, Livingston County, Illinois","141","71","0","0","71","0","70","0","0","70",
"1400000US17105960200","Census Tract 9602, Livingston County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17105960300","Census Tract 9603, Livingston County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17105960400","Census Tract 9604, Livingston County, Illinois","50","41","0","0","41","0","9","0","0","9",
"1400000US17105960500","Census Tract 9605, Livingston County, Illinois","69","69","0","0","69","0","0","0","0","0",
"1400000US17105960600","Census Tract 9606, Livingston County, Illinois","72","46","0","0","46","0","26","0","0","26",
"1400000US17105960700","Census Tract 9607, Livingston County, Illinois","1391","1374","1309","0","65","0","17","0","0","17",
