"GEO_ID","NAME","P4_001N","P4_002N","P4_003N","P4_004N","P4_005N","P4_006N","P4_007N","P4_008N","P4_009N","P4_010N","P4_011N","P4_012N","P4_013N","P4_014N","P4_015N","P4_016N","P4_017N","P4_018N","P4_019N","P4_020N","P4_021N","P4_022N","P4_023N","P4_024N","P4_025N","P4_026N","P4_027N","P4_028N","P4_029N","P4_030N","P4_031N","P4_032N","P4_033N","P4_034N","P4_035N","P4_036N","P4_037N","P4_038N","P4_039N","P4_040N","P4_041N","P4_042N","P4_043N","P4_044N","P4_045N","P4_046N","P4_047N","P4_048N","P4_049N","P4_050N","P4_051N","P4_052N","P4_053N","P4_054N","P4_055N","P4_056N","P4_057N","P4_058N","P4_059N","P4_060N","P4_061N","P4_062N","P4_063N","P4_064N","P4_065N","P4_066N","P4_067N","P4_068N","P4_069N","P4_070N","P4_071N","P4_072N","P4_073N",
"1400000US17197880326","Census Tract 8803.26, Will County, Illinois","2238","353","1885","1801","1152","241","2","401","0","5","84","82","14","16","25","1","16","2","3","0","2","0","0","0","3","0","0","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880408","Census Tract 8804.08, Will County, Illinois","3604","1028","2576","2472","1796","485","0","187","0","4","104","102","31","29","19","0","20","1","1","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880411","Census Tract 8804.11, Will County, Illinois","2647","214","2433","2372","2178","65","2","112","0","15","61","57","0","26","9","2","20","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880412","Census Tract 8804.12, Will County, Illinois","3233","647","2586","2466","2178","226","0","54","0","8","120","113","27","42","10","0","29","1","0","0","4","0","0","0","0","0","0","7","3","0","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880414","Census Tract 8804.14, Will County, Illinois","3322","506","2816","2700","2483","119","9","73","0","16","116","113","11","45","15","1","28","3","2","0","8","0","0","0","0","0","0","3","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880416","Census Tract 8804.16, Will County, Illinois","2357","462","1895","1831","1629","144","1","53","0","4","64","63","18","20","11","0","11","0","1","0","0","2","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880417","Census Tract 8804.17, Will County, Illinois","2062","287","1775","1730","1532","116","0","74","0","8","45","43","1","25","4","0","10","1","0","0","2","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880418","Census Tract 8804.18, Will County, Illinois","3684","638","3046","2955","2546","269","7","131","0","2","91","88","10","22","14","3","37","0","1","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880421","Census Tract 8804.21, Will County, Illinois","4772","538","4234","4092","3568","296","8","204","0","16","142","133","13","47","24","0","45","0","0","0","2","0","0","0","0","2","0","8","4","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17197880422","Census Tract 8804.22, Will County, Illinois","2818","260","2558","2493","2406","34","4","40","0","9","65","64","1","26","13","0","22","0","2","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
