"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N","P2_005N","P2_006N","P2_007N","P2_008N","P2_009N","P2_010N","P2_011N","P2_012N","P2_013N","P2_014N","P2_015N","P2_016N","P2_017N","P2_018N","P2_019N","P2_020N","P2_021N","P2_022N","P2_023N","P2_024N","P2_025N","P2_026N","P2_027N","P2_028N","P2_029N","P2_030N","P2_031N","P2_032N","P2_033N","P2_034N","P2_035N","P2_036N","P2_037N","P2_038N","P2_039N","P2_040N","P2_041N","P2_042N","P2_043N","P2_044N","P2_045N","P2_046N","P2_047N","P2_048N","P2_049N","P2_050N","P2_051N","P2_052N","P2_053N","P2_054N","P2_055N","P2_056N","P2_057N","P2_058N","P2_059N","P2_060N","P2_061N","P2_062N","P2_063N","P2_064N","P2_065N","P2_066N","P2_067N","P2_068N","P2_069N","P2_070N","P2_071N","P2_072N","P2_073N",
"1400000US17089851910","Census Tract 8519.10, Kane County, Illinois","3927","1395","2532","2418","1955","288","0","158","1","16","114","107","22","27","30","0","19","3","0","0","4","2","0","0","0","0","0","6","1","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089851911","Census Tract 8519.11, Kane County, Illinois","5317","740","4577","4340","3209","188","2","926","0","15","237","225","59","32","87","1","41","0","0","0","0","1","0","0","4","0","0","11","2","0","0","2","2","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089851912","Census Tract 8519.12, Kane County, Illinois","3358","447","2911","2820","2359","109","3","320","0","29","91","89","20","25","26","1","15","0","0","0","0","1","0","0","0","1","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089851913","Census Tract 8519.13, Kane County, Illinois","5668","649","5019","4846","4012","119","8","679","0","28","173","169","48","37","51","0","20","0","6","0","0","0","0","0","7","0","0","4","0","0","0","0","2","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852001","Census Tract 8520.01, Kane County, Illinois","4492","816","3676","3539","3304","66","10","150","0","9","137","130","23","49","21","0","35","0","2","0","0","0","0","0","0","0","0","6","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852002","Census Tract 8520.02, Kane County, Illinois","6722","863","5859","5598","5241","86","0","242","0","29","261","254","45","90","37","0","73","1","4","0","0","0","0","0","4","0","0","7","1","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852004","Census Tract 8520.04, Kane County, Illinois","2911","165","2746","2675","2364","7","2","294","0","8","71","68","10","8","30","0","15","0","0","0","2","0","0","0","1","2","0","3","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852005","Census Tract 8520.05, Kane County, Illinois","4902","260","4642","4499","4316","34","5","126","3","15","143","141","14","32","59","2","31","1","0","0","0","0","0","0","2","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852101","Census Tract 8521.01, Kane County, Illinois","7015","464","6551","6287","5502","91","3","659","1","31","264","258","24","46","104","0","76","0","2","0","0","6","0","0","0","0","0","6","0","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852103","Census Tract 8521.03, Kane County, Illinois","6526","391","6135","5886","5341","75","7","447","0","16","249","246","25","46","90","0","79","2","0","0","0","1","0","0","3","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852104","Census Tract 8521.04, Kane County, Illinois","2986","431","2555","2415","2040","68","3","297","0","7","140","134","8","27","48","0","42","0","2","0","5","1","0","1","0","0","0","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852201","Census Tract 8522.01, Kane County, Illinois","4832","456","4376","4193","4028","83","2","73","1","6","183","178","37","23","40","0","77","1","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852203","Census Tract 8522.03, Kane County, Illinois","4997","1267","3730","3562","3199","135","9","209","0","10","168","166","36","45","34","0","47","0","4","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852204","Census Tract 8522.04, Kane County, Illinois","4467","501","3966","3812","3295","290","0","208","0","19","154","151","27","25","57","0","38","0","1","0","0","0","0","2","0","1","0","3","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852300","Census Tract 8523, Kane County, Illinois","2052","232","1820","1740","1666","40","3","25","0","6","80","76","19","29","3","0","21","0","0","0","3","0","0","0","1","0","0","4","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852403","Census Tract 8524.03, Kane County, Illinois","5111","338","4773","4600","4536","11","6","32","0","15","173","167","26","55","17","0","66","0","0","0","1","0","0","0","0","2","0","6","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852404","Census Tract 8524.04, Kane County, Illinois","2545","118","2427","2338","2176","30","0","121","1","10","89","83","13","16","22","0","29","3","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852405","Census Tract 8524.05, Kane County, Illinois","3112","164","2948","2850","2792","27","2","20","0","9","98","96","10","25","20","0","41","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852406","Census Tract 8524.06, Kane County, Illinois","2874","224","2650","2533","2472","29","1","29","0","2","117","116","10","29","34","1","41","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852407","Census Tract 8524.07, Kane County, Illinois","3513","182","3331","3196","2979","37","4","169","0","7","135","130","15","17","65","0","30","1","2","0","0","0","0","0","0","0","0","5","3","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852408","Census Tract 8524.08, Kane County, Illinois","4754","259","4495","4319","4229","28","2","49","0","11","176","168","15","51","49","1","45","3","4","0","0","0","0","0","0","0","0","8","5","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852500","Census Tract 8525, Kane County, Illinois","6500","833","5667","5425","5232","51","2","130","0","10","242","222","29","73","65","1","53","0","0","0","1","0","0","0","0","0","0","20","1","5","0","2","4","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852606","Census Tract 8526.06, Kane County, Illinois","4584","237","4347","4227","4123","21","1","77","0","5","120","119","11","27","45","0","35","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852607","Census Tract 8526.07, Kane County, Illinois","3611","250","3361","3220","3100","23","3","86","0","8","141","135","4","33","49","0","44","0","0","0","5","0","0","0","0","0","0","4","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852608","Census Tract 8526.08, Kane County, Illinois","3703","166","3537","3422","3352","26","2","29","2","11","115","113","10","21","24","1","55","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852700","Census Tract 8527, Kane County, Illinois","7086","897","6189","5949","5650","171","3","110","0","15","240","231","53","72","39","0","64","0","3","0","0","0","0","0","0","0","0","9","2","2","0","2","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852803","Census Tract 8528.03, Kane County, Illinois","4992","560","4432","4210","3819","281","1","88","1","20","222","216","50","41","62","1","61","0","0","0","1","0","0","0","0","0","0","6","1","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852805","Census Tract 8528.05, Kane County, Illinois","5552","1076","4476","4297","3864","207","2","210","0","14","179","175","30","31","46","0","63","0","4","0","0","0","0","0","0","1","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852806","Census Tract 8528.06, Kane County, Illinois","6814","515","6299","6035","5424","220","4","372","0","15","264","257","39","51","70","0","90","3","1","0","2","0","0","0","1","0","0","6","3","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852807","Census Tract 8528.07, Kane County, Illinois","3897","390","3507","3361","3000","196","3","157","1","4","146","144","14","14","49","3","59","4","0","0","0","0","0","0","0","1","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852808","Census Tract 8528.08, Kane County, Illinois","7022","675","6347","6098","5644","210","3","203","2","36","249","245","42","62","60","3","75","3","0","0","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",
"1400000US17089852903","Census Tract 8529.03, Kane County, Illinois","5193","1735","3458","3338","2435","666","10","202","2","23","120","106","27","18","18","0","34","6","3","0","0","0","0","0","0","0","0","14","5","1","2","0","1","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852904","Census Tract 8529.04, Kane County, Illinois","2079","1631","448","415","180","206","2","22","0","5","33","24","10","0","0","1","9","3","0","0","0","1","0","0","0","0","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852905","Census Tract 8529.05, Kane County, Illinois","4684","2780","1904","1798","1093","612","3","78","0","12","106","102","39","21","14","2","9","4","10","0","0","3","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852906","Census Tract 8529.06, Kane County, Illinois","5176","2041","3135","2996","2226","524","5","218","1","22","139","138","39","29","16","0","53","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852907","Census Tract 8529.07, Kane County, Illinois","4930","3583","1347","1304","794","413","10","67","0","20","43","39","19","12","0","0","6","0","0","0","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089853001","Census Tract 8530.01, Kane County, Illinois","3586","980","2606","2487","1987","336","6","147","0","11","119","116","35","31","22","0","23","2","3","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089853004","Census Tract 8530.04, Kane County, Illinois","3228","679","2549","2468","2235","141","1","79","6","6","81","78","27","27","3","0","18","3","0","0","0","0","0","0","0","0","0","3","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089853005","Census Tract 8530.05, Kane County, Illinois","5521","2365","3156","2992","1886","916","6","168","0","16","164","151","53","34","30","3","13","5","4","0","7","0","0","0","2","0","0","13","3","2","0","3","2","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089853006","Census Tract 8530.06, Kane County, Illinois","3343","1546","1797","1693","1134","356","4","182","2","15","104","102","41","15","16","4","24","0","0","0","0","0","0","0","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US17089853007","Census Tract 8530.07, Kane County, Illinois","5574","3230","2344","2239","1030","823","11","366","2","7","105","103","49","16","21","0","7","1","3","0","4","0","0","0","0","2","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
