"GEO_ID","NAME","H1_001N","H1_002N","H1_003N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant",
"1400000US17031050300","Census Tract 503, Cook County, Illinois","1173","1094","79",
"1400000US17031050500","Census Tract 505, Cook County, Illinois","2205","2073","132",
"1400000US17031050600","Census Tract 506, Cook County, Illinois","1212","1154","58",
"1400000US17031050700","Census Tract 507, Cook County, Illinois","711","683","28",
"1400000US17031050800","Census Tract 508, Cook County, Illinois","600","542","58",
"1400000US17031050900","Census Tract 509, Cook County, Illinois","679","639","40",
"1400000US17031051000","Census Tract 510, Cook County, Illinois","740","691","49",
"1400000US17031051100","Census Tract 511, Cook County, Illinois","720","649","71",
"1400000US17031051200","Census Tract 512, Cook County, Illinois","700","663","37",
"1400000US17031051300","Census Tract 513, Cook County, Illinois","1183","1137","46",
"1400000US17031051400","Census Tract 514, Cook County, Illinois","1201","1099","102",
"1400000US17031060100","Census Tract 601, Cook County, Illinois","1369","1317","52",
"1400000US17031060200","Census Tract 602, Cook County, Illinois","1214","1162","52",
"1400000US17031060300","Census Tract 603, Cook County, Illinois","1418","1306","112",
"1400000US17031060400","Census Tract 604, Cook County, Illinois","1680","1577","103",
"1400000US17031060500","Census Tract 605, Cook County, Illinois","822","773","49",
"1400000US17031060800","Census Tract 608, Cook County, Illinois","3847","3489","358",
"1400000US17031060900","Census Tract 609, Cook County, Illinois","5276","4955","321",
"1400000US17031061000","Census Tract 610, Cook County, Illinois","1333","1229","104",
"1400000US17031061100","Census Tract 611, Cook County, Illinois","751","678","73",
"1400000US17031061200","Census Tract 612, Cook County, Illinois","948","863","85",
"1400000US17031061500","Census Tract 615, Cook County, Illinois","915","855","60",
"1400000US17031061800","Census Tract 618, Cook County, Illinois","740","663","77",
"1400000US17031061901","Census Tract 619.01, Cook County, Illinois","2540","2398","142",
"1400000US17031061902","Census Tract 619.02, Cook County, Illinois","3372","3087","285",
"1400000US17031062000","Census Tract 620, Cook County, Illinois","1747","1639","108",
"1400000US17031062100","Census Tract 621, Cook County, Illinois","2226","2064","162",
"1400000US17031062200","Census Tract 622, Cook County, Illinois","1605","1506","99",
"1400000US17031062300","Census Tract 623, Cook County, Illinois","750","715","35",
"1400000US17031062400","Census Tract 624, Cook County, Illinois","737","686","51",
"1400000US17031062500","Census Tract 625, Cook County, Illinois","931","896","35",
"1400000US17031062600","Census Tract 626, Cook County, Illinois","1016","966","50",
"1400000US17031062700","Census Tract 627, Cook County, Illinois","1374","1272","102",
"1400000US17031062800","Census Tract 628, Cook County, Illinois","1752","1653","99",
"1400000US17031062900","Census Tract 629, Cook County, Illinois","2150","2036","114",
"1400000US17031063000","Census Tract 630, Cook County, Illinois","2101","1954","147",
"1400000US17031063100","Census Tract 631, Cook County, Illinois","1478","1435","43",
"1400000US17031063200","Census Tract 632, Cook County, Illinois","4952","4602","350",
"1400000US17031063301","Census Tract 633.01, Cook County, Illinois","2058","1968","90",
"1400000US17031063302","Census Tract 633.02, Cook County, Illinois","3414","3183","231",
"1400000US17031063303","Census Tract 633.03, Cook County, Illinois","1112","954","158",
"1400000US17031063400","Census Tract 634, Cook County, Illinois","1424","1351","73",
